[Wednesday/March 19/03/2025 08:17:16] Ao no Hako Episode 23.mp4 | length=1417.28 | time=641.59929166667
[Wednesday/March 19/03/2025 08:17:29] Ao no Hako Episode 23.mp4 | length=1417.28 | time=642.516875
[Thursday/March 20/03/2025 04:18:48] /home/elghaz/Videos/Anime/Amagami/Amagamisan Chi no Enmusubi Episode 22.mp4 | length=1420.1080045351 | time=2.8361666666667
[Thursday/March 20/03/2025 04:41:13] /home/elghaz/Videos/Anime/Amagami/Amagamisan Chi no Enmusubi Episode 23.mp4 | length=1420.0150113379 | time=1349.8067916667
[Friday/March 21/03/2025 04:16:45] /home/elghaz/Videos/Anime/Medaka/Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai Episode 11.mp4 | length=1430.07 | time=684.14179166667
[Friday/March 21/03/2025 04:16:54] /home/elghaz/Videos/Anime/Medaka/Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai Episode 10.mp4 | length=1430.07 | time=852.56004166667
[Friday/March 21/03/2025 04:38:43] /home/elghaz/Videos/Anime/Medaka/Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai Episode 11.mp4 | length=1430.07 | time=1359.5248333333
[Friday/March 21/03/2025 16:51:21] /home/elghaz/Videos/Anime/i have crush at work/Kono Kaisha ni Suki na Hito ga Imasu Episode 9.mp4 | length=1420.032 | time=1348.5138333333
[Friday/March 21/03/2025 17:13:53] /home/elghaz/Videos/Anime/i have crush at work/Kono Kaisha ni Suki na Hito ga Imasu Episode 10.mp4 | length=1420.032 | time=1334.5415416667
[Friday/March 21/03/2025 17:45:06] /home/elghaz/Videos/Anime/i have crush at work/Kono Kaisha ni Suki na Hito ga Imasu Episode 11.mp4 | length=1420.064 | time=1337.8782083333
[Saturday/March 22/03/2025 22:40:30] /home/elghaz/Videos/Anime/Amagami/Amagamisan Chi no Enmusubi Episode 23.mp4 | length=1420.0150113379 | time=1351.9339166667
[Saturday/March 22/03/2025 22:41:06] /home/elghaz/Videos/Anime/bluebox/Ao no Hako Episode 18.mp4 | length=1417.28 | time=630.755125
[Saturday/March 22/03/2025 22:41:24] /home/elghaz/Videos/Anime/bluebox/Ao no Hako Episode 17<.mp4 | length=1417.28 | time=1237.4445416667
[Sunday/March 23/03/2025 00:49:35] /home/elghaz/Videos/Anime/bluebox/Ao no Hako Episode 18.mp4 | length=1417.28 | time=1327.3677083333
[Sunday/March 23/03/2025 02:04:48] /home/elghaz/Videos/Anime/bluebox/Ao no Hako Episode 19<.mp4 | length=1417.28 | time=1332.6229583333
[Sunday/March 23/03/2025 02:26:13] /home/elghaz/Videos/Anime/bluebox/Ao no Hako Episode 20.mp4 | length=1417.28 | time=1332.7897916667
[Sunday/March 23/03/2025 13:15:24] "Ultraman Rising Episode 1" | https://myanime.sharepoint.com/sites/chartlousty/_layouts/15/download.aspx?share=EZn87JSoDrNDrHSwns0eniIBY_mHFTOD0oHYEOAu_zrMPQ | length=7261.12 | time=16.333333333333
[Sunday/March 23/03/2025 20:03:29] /home/elghaz/Videos/Obs Recorded/2025-02-22 08-58-24.mkv | length=19.491 | time=3
[Sunday/March 23/03/2025 20:04:13] /home/elghaz/Videos/Obs Recorded/2025-03-23 20-02-14.mkv | length=36.534 | time=24.667
[Sunday/March 23/03/2025 22:02:34] /home/elghaz/Videos/Obs Recorded/2025-03-23 22-02-09.mkv | length=6.317 | time=6.3
